category_id,name
1,Aceite de girasol
2,Aceite de maíz
3,Aceite de soja
4,Afeitadora
5,Agua de mesa con gas
6,Agua de mesa sin gas
7,Agua en bidón
8,Agua oxigenada 10 volumen
9,Aguja vacuna
10,Alcohol en gel 
11,Alcohol rectificado
12,Algodón
13,Apositos
14,Arroz blanco
15,Arvejas en conserva
16,Azúcar blanco
17,Banana Brasil
18,Banana Ecuador
19,Barra Adhesiva
20,Bolígrafo
21,Café envasado (no instantáneo)
22,Carne picada vacuna
23,Carpeta
24,Cascola
25,Cerveza
26,Champú
27,Chorizos mezcla
28,Cinta adhesiva
29,Cocoa
30,Colonia + Talco
31,Compás 
32,Crayolas
33,Crayolas/Pasteles
34,Crema facial
35,Cuaderno Rayado
36,Cuaderno Rayado Espiral
37,Cuadernola
38,Cuadernola 
39,Cuadernola Tapa Dura
40,Curitas 
41,Desodorante en aerosol
42,Detergente para vajilla
43,Dulce de leche
44,Dulce de membrillo
45,Fideos secos al huevo
46,Fideos secos semolados
47,Frankfurters cortos
48,Galletitas al agua
49,Gasa estéril
50,Gaseosa tipo cola (env. no ret.)
51,Goma
52,Hamburguesas carne vacun
53,Harina de maíz
54,Harina trigo común 000
55,Harina trigo común 0000
56,Helado familiar
57,Hipoclorito de sodio
58,Hojas 
59,Hojas cuadriculadas
60,Hojas de Garbanzo
61,Huevos colorados
62,Jabón de glicerina
63,Jabón de tocador
64,Jabón en polvo máquina
65,Jabón para ropa en barra
66,Jamón cocido no artesanal
67,Juego de Geometría
68,Lechuga Crespa
69,Lechuga Mantecosa
70,Leonesa
71,Libreta 
72,Lápices de colores
73,Lápices de colores 
74,Lápiz Corrector
75,Lápiz Negro
76,Manteca
77,Manzana Fuji
78,Manzana Granny Smith
79,Manzana Red Chieff
80,Manzana Red Deliciosa
81,Marcador flúor
82,Marcadores delgados
83,Marcadores flúor
84,Marcadores gruesos
85,Margarina
86,Mayonesa común
87,Mermelada de durazno
88,Nalga vacuna
89,Naranja Navel
90,Naranja Valencia
91,Paleta vacuna
92,Pan de molde lacteado
93,Pan flauta
94,Papa Blanca
95,Papa Rosada
96,Papel higiénico hoja simple
97,Pasta dental
98,Pañales 
99,Pañales adultos
100,Peceto vacuno
101,Perfume
102,Pescado fresco
103,Pincel
104,Pollo entero fresco con menudos
105,Protector solar SPF 20
106,Protector solar SPF 30
107,Protector solar SPF 40
108,Protector solar SPF 50
109,Protector solar SPF 60
110,Protector solar SPF 80
111,Pulpa de tomate
112,Queso rallado
113,Regla 30 CM
114,Repelente aerosol
115,Repelente crema
116,Repelente gel
117,Repelente spray
118,Rueda Vacuna
119,Sacapuntas
120,Sal fina yodada fluorada
121,Talco
122,Tempera
123,Temperas
124,Tijera
125,Tinta 
126,Toallitas femeninas
127,Tomate Americano
128,Tomate Perita
129,Té negro en saquitos
130,Vino tinto común tetrabrick
131,Yerba mate común
132,Yogur
133,Zapallo Calabacín
134,Zapallo Criollo
